City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aripuanã,-9.1667,-60.6333,85.6,59,70,1.92,BR,1610455845
Jamestown,42.097,-79.2353,27.0,80,90,6.91,US,1610455581
Bluff,-46.6,168.3333,52.0,84,16,1.01,NZ,1610455847
Narsaq,60.9167,-46.05,42.8,33,75,20.71,GL,1610455848
Hong Kong,22.2855,114.1577,55.99,30,37,11.16,HK,1610455586
Thompson,55.7435,-97.8558,12.2,92,90,4.88,CA,1610455849
Punta Arenas,-53.15,-70.9167,46.4,66,0,32.21,CL,1610455765
Bac Lieu,9.285,105.7244,74.77,76,0,11.81,VN,1610455850
Hermanus,-34.4187,19.2345,73.99,80,81,8.99,ZA,1610455850
Lebu,-37.6167,-73.65,56.82,43,0,18.81,CL,1610455851
Pevek,69.7008,170.3133,-34.17,84,38,2.13,RU,1610455851
Mataura,-46.1927,168.8643,52.0,84,49,1.01,NZ,1610455852
Fortuna,40.5982,-124.1573,55.99,87,90,20.71,US,1610455853
Rancagua,-34.1708,-70.7444,60.8,51,0,4.05,CL,1610455853
Port Elizabeth,-33.918,25.5701,71.6,88,90,13.8,ZA,1610455854
Cherskiy,68.75,161.3,-33.83,82,0,0.98,RU,1610455854
Atuona,-9.8,-139.0333,76.73,81,4,14.56,PF,1610455855
Saiha,22.4833,92.9667,60.17,59,0,1.88,IN,1610455681
Havelock,34.8791,-76.9013,46.0,100,90,8.05,US,1610455583
Aloleng,16.1307,119.7824,75.74,79,55,17.58,PH,1610455858
Busselton,-33.65,115.3333,61.0,73,0,1.99,AU,1610455858
Mabaruma,8.2,-59.7833,77.86,87,1,5.93,GY,1610455859
Provideniya,64.3833,-173.3,-9.85,83,97,10.69,RU,1610455860
Puerto Ayora,-0.7393,-90.3518,73.99,94,73,9.06,EC,1610455860
Koumac,-20.5667,164.2833,81.05,83,82,3.67,NC,1610455861
Chui,-33.6971,-53.4616,70.18,56,94,14.72,UY,1610455862
Forsytheganj,52.6333,29.7333,28.0,95,0,11.72,BY,1610455863
Qaanaaq,77.484,-69.3632,11.5,83,99,4.14,GL,1610455864
Gubkinskiy,64.434,76.5026,-7.8,91,100,10.02,RU,1610455864
Osa,57.2829,55.4567,-5.01,90,100,8.05,RU,1610455865
Santiago del Estero,-27.7951,-64.2615,69.01,91,100,1.01,AR,1610455865
Alofi,-19.0595,-169.9187,75.2,100,100,2.3,NU,1610455821
Kapaa,22.0752,-159.319,69.8,88,75,8.05,US,1610455866
Mahanoro,-19.9,48.8,83.34,73,8,10.87,MG,1610455867
Nome,64.5011,-165.4064,12.2,79,75,9.22,US,1610455868
Rikitea,-23.1203,-134.9692,77.7,77,13,19.06,PF,1610455868
Cape Town,-33.9258,18.4232,84.2,48,0,18.41,ZA,1610455665
Butaritari,3.0707,172.7902,81.0,81,28,20.58,KI,1610455870
Ilave,-16.0833,-69.6667,52.09,60,86,1.43,PE,1610455871
Ushuaia,-54.8,-68.3,44.6,57,75,12.66,AR,1610455871
Hasaki,35.7333,140.8333,37.4,100,75,9.22,JP,1610455872
Caucayá,-0.1934,-74.7819,75.94,85,71,5.01,CO,1610455872
Vaini,-21.2,-175.2,78.8,94,75,5.75,TO,1610455873
Port Blair,11.6667,92.75,79.61,75,1,13.33,IN,1610455874
Port-Gentil,-0.7193,8.7815,87.8,70,40,13.8,GA,1610455874
Głogów,51.6636,16.0845,34.0,89,100,13.94,PL,1610455875
Constitución,-35.3333,-72.4167,62.19,36,0,3.04,CL,1610455876
Hobart,-42.8794,147.3294,57.99,67,75,4.61,AU,1610455687
Severo-Kuril'sk,50.6789,156.125,18.09,90,97,18.45,RU,1610455877
Wagar,16.1525,36.2032,90.32,19,98,3.04,SD,1610455877
Payo,-3.7508,103.6372,72.88,96,100,2.51,ID,1610455878
Caravelas,-17.7125,-39.2481,84.15,61,0,6.82,BR,1610455879
Choya,52.0108,86.5467,17.15,95,100,1.83,RU,1610455879
Codrington,-38.2667,141.9667,52.79,88,59,8.1,AU,1610455880
Talladega,33.4359,-86.1058,37.4,93,90,4.27,US,1610455881
Yangi Marg`ilon,40.4272,71.7189,39.2,48,100,1.28,UZ,1610455881
Hithadhoo,-0.6,73.0833,81.72,79,64,19.26,MV,1610455882
Nantucket,41.2835,-70.0995,35.6,80,90,5.75,US,1610455688
Broome,42.2506,-75.833,28.99,69,90,6.91,US,1610455883
Port Alfred,-33.5906,26.891,69.01,96,100,1.99,ZA,1610455884
Sur,22.5667,59.5289,70.43,47,0,13.4,OM,1610455884
Raudeberg,61.9875,5.1352,37.0,84,100,36.13,NO,1610455885
The Pas,53.8251,-101.2541,21.2,86,75,8.05,CA,1610455885
Ahipara,-35.1667,173.1667,61.56,90,6,4.29,NZ,1610455886
Lagoa,39.05,-27.9833,60.71,92,100,21.0,PT,1610455887
Inhambane,-23.865,35.3833,89.6,66,40,4.61,MZ,1610455862
Nouadhibou,20.931,-17.0347,68.0,49,0,21.85,MR,1610455888
Priargunsk,50.3691,119.1012,-8.18,90,100,1.72,RU,1610455888
Mildura,-34.2,142.15,75.2,25,0,3.98,AU,1610455889
Tyukalinsk,55.8732,72.1967,-10.73,87,100,15.41,RU,1610455889
Tambacounda,13.7539,-13.7586,87.8,13,0,11.5,SN,1610455890
Albany,42.6001,-73.9662,28.0,89,100,5.32,US,1610455781
Flinders,-34.5833,150.8552,70.0,89,30,1.99,AU,1610455666
Mangaratiba,-22.9597,-44.0406,87.8,62,0,10.36,BR,1610455608
Jishou,28.3167,109.7167,44.73,57,0,1.41,CN,1610455893
Nikolskoye,59.7035,30.7861,12.2,85,90,20.13,RU,1610455894
Wattegama,6.7989,81.4808,75.2,100,75,4.61,LK,1610455894
